n,ξ,RejectionRate
10,-0.4,0.0
10,-0.3,0.0
10,-0.2,0.1
10,-0.1,0.0
10,0.0,0.0
10,0.1,0.0
10,0.2,0.0
10,0.3,0.0
10,0.4,0.0
20,-0.4,0.0
20,-0.3,0.0
20,-0.2,0.0
20,-0.1,0.0
20,0.0,0.0
20,0.1,0.0
20,0.2,0.0
20,0.3,0.0
20,0.4,0.0
30,-0.4,0.1
30,-0.3,0.0
30,-0.2,0.0
30,-0.1,0.0
30,0.0,0.1
30,0.1,0.0
30,0.2,0.0
30,0.3,0.0
30,0.4,0.4
40,-0.4,0.0
40,-0.3,0.1
40,-0.2,0.0
40,-0.1,0.0
40,0.0,0.0
40,0.1,0.0
40,0.2,0.1
40,0.3,0.0
40,0.4,0.1
50,-0.4,0.1
50,-0.3,0.3
50,-0.2,0.1
50,-0.1,0.0
50,0.0,0.0
50,0.1,0.0
50,0.2,0.0
50,0.3,0.1
50,0.4,0.0
100,-0.4,0.1
100,-0.3,0.1
100,-0.2,0.2
100,-0.1,0.0
100,0.0,0.0
100,0.1,0.0
100,0.2,0.0
100,0.3,0.2
100,0.4,0.0
300,-0.4,0.2
300,-0.3,0.1
300,-0.2,0.0
300,-0.1,0.0
300,0.0,0.1
300,0.1,0.0
300,0.2,0.1
300,0.3,0.0
300,0.4,0.1
