n,ξ,RejectionRate
10,-0.4,0.05213333333333333
10,-0.2,0.049133333333333334
10,0.0,0.04753333333333333
10,0.2,0.04833333333333333
10,0.4,0.0508
15,-0.4,0.05366666666666667
15,-0.2,0.04713333333333333
15,0.0,0.05093333333333333
15,0.2,0.051533333333333334
15,0.4,0.0498
30,-0.4,0.05
30,-0.2,0.05093333333333333
30,0.0,0.049466666666666666
30,0.2,0.051133333333333336
30,0.4,0.048666666666666664
50,-0.4,0.051
50,-0.2,0.049466666666666666
50,0.0,0.049666666666666665
50,0.2,0.0526
50,0.4,0.0474
75,-0.4,0.0504
75,-0.2,0.05006666666666667
75,0.0,0.050133333333333335
75,0.2,0.05226666666666667
75,0.4,0.05026666666666667
100,-0.4,0.04986666666666666
100,-0.2,0.05213333333333333
100,0.0,0.051866666666666665
100,0.2,0.0496
100,0.4,0.051333333333333335
