α₁,ξ,RejectionRate,NRejected,NValid,NFailed
0.4,-0.3,0.9965333333333334,14948,15000,0
0.4,-0.15,0.9856,14784,15000,0
0.4,0.0,0.9760666666666666,14641,15000,0
0.4,0.15,0.9752,14628,15000,0
0.4,0.3,0.9782666666666666,14674,15000,0
0.45,-0.3,0.9984,14976,15000,0
0.45,-0.15,0.9918666666666667,14878,15000,0
0.45,0.0,0.9844,14766,15000,0
0.45,0.15,0.9834,14751,15000,0
0.45,0.3,0.9863333333333333,14795,15000,0
0.5,-0.3,0.9975333333333334,14963,15000,0
0.5,-0.15,0.9894,14841,15000,0
0.5,0.0,0.9794666666666667,14692,15000,0
0.5,0.15,0.9806,14709,15000,0
0.5,0.3,0.9849333333333333,14774,15000,0
0.55,-0.3,0.9948666666666667,14923,15000,0
0.55,-0.15,0.9805333333333334,14708,15000,0
0.55,0.0,0.9648666666666667,14473,15000,0
0.55,0.15,0.9647333333333333,14471,15000,0
0.55,0.3,0.9735333333333334,14603,15000,0
0.6,-0.3,0.981,14715,15000,0
0.6,-0.15,0.9327333333333333,13991,15000,0
0.6,0.0,0.91,13650,15000,0
0.6,0.15,0.9100666666666667,13651,15000,0
0.6,0.3,0.9302666666666667,13954,15000,0
0.65,-0.3,0.9088844355377421,13606,14970,30
0.65,-0.15,0.8129625925185037,12192,14997,3
0.65,0.0,0.7675333333333333,11513,15000,0
0.65,0.15,0.7652,11478,15000,0
0.65,0.3,0.7950666666666667,11926,15000,0
0.7,-0.3,0.6389675158377139,9481,14838,162
0.7,-0.15,0.525662417406394,7876,14983,17
0.7,0.0,0.4802960592118424,7203,14997,3
0.7,0.15,0.4793652910194013,7190,14999,1
0.7,0.3,0.5150020002667022,7724,14998,2
0.75,-0.3,0.2003635629165825,2976,14853,147
0.75,-0.15,0.19461337966985232,2912,14963,37
0.75,0.0,0.17714514300953396,2657,14999,1
0.75,0.15,0.17202293639151886,2580,14998,2
0.75,0.3,0.183983983983984,2757,14985,15
0.8,-0.3,0.014278089137977049,214,14988,12
0.8,-0.15,0.028611444577831133,429,14994,6
0.8,0.0,0.02506833788919261,376,14999,1
0.8,0.15,0.027805561112222446,417,14997,3
0.8,0.3,0.022202960394719296,333,14998,2
