n,ξ,RejectionRate,NRejected,NValid,NFailed
10,-0.3,0.03850260242893367,577,14986,14
10,-0.15,0.029541210989597225,443,14996,4
10,0.0,0.022337800893512037,335,14997,3
10,0.15,0.021602880384051205,324,14998,2
10,0.3,0.02473828098953124,371,14997,3
15,-0.3,0.05309911835426129,795,14972,28
15,-0.15,0.033211070356785596,498,14995,5
15,0.0,0.028403787171622882,426,14998,2
15,0.15,0.029333333333333333,440,15000,0
15,0.3,0.034340201373608055,515,14997,3
30,-0.3,0.12319325481798715,1841,14944,56
30,-0.15,0.053980116100620534,809,14987,13
30,0.0,0.04426666666666667,664,15000,0
30,0.15,0.040736049069937996,611,14999,1
30,0.3,0.0508203281312525,762,14994,6
50,-0.3,0.1207093437227111,1797,14887,113
50,-0.15,0.056637758505670446,849,14990,10
50,0.0,0.04906666666666667,736,15000,0
50,0.15,0.048466666666666665,727,15000,0
50,0.3,0.04848282760920307,727,14995,5
75,-0.3,0.10278170674210278,1526,14847,153
75,-0.15,0.0495531545951714,743,14994,6
75,0.0,0.045203013534235614,678,14999,1
75,0.15,0.0486,729,15000,0
75,0.3,0.048543041941721675,728,14997,3
100,-0.3,0.09048099562731247,1345,14865,135
100,-0.15,0.05054344202173768,758,14997,3
100,0.0,0.04786666666666667,718,15000,0
100,0.15,0.047733333333333336,716,15000,0
100,0.3,0.046348782927642544,695,14995,5
