δ,ξ,RejectionRate,NRejected,NValid,NFailed
0.0,-0.4,0.05226666666666667,784,15000,0
0.0,-0.2,0.04733333333333333,710,15000,0
0.0,0.0,0.05,750,15000,0
0.0,0.2,0.0494,741,15000,0
0.0,0.4,0.050133333333333335,752,15000,0
0.01,-0.4,0.33753333333333335,5063,15000,0
0.01,-0.2,0.2628,3942,15000,0
0.01,0.0,0.23306666666666667,3496,15000,0
0.01,0.2,0.21613333333333334,3242,15000,0
0.01,0.4,0.22626666666666667,3394,15000,0
0.02,-0.4,0.8409333333333333,12614,15000,0
0.02,-0.2,0.6902,10353,15000,0
0.02,0.0,0.6106,9159,15000,0
0.02,0.2,0.5803333333333334,8705,15000,0
0.02,0.4,0.5861333333333333,8792,15000,0
0.03,-0.4,0.9883333333333333,14825,15000,0
0.03,-0.2,0.9346666666666666,14020,15000,0
0.03,0.0,0.8766666666666667,13150,15000,0
0.03,0.2,0.8450666666666666,12676,15000,0
0.03,0.4,0.8495333333333334,12743,15000,0
0.04,-0.4,0.9997333333333334,14996,15000,0
0.04,-0.2,0.9924,14886,15000,0
0.04,0.0,0.9736666666666667,14605,15000,0
0.04,0.2,0.9569333333333333,14354,15000,0
0.04,0.4,0.9574,14361,15000,0
0.05,-0.4,1.0,15000,15000,0
0.05,-0.2,0.9988666666666667,14983,15000,0
0.05,0.0,0.9951333333333333,14927,15000,0
0.05,0.2,0.9907333333333334,14861,15000,0
0.05,0.4,0.9906,14859,15000,0
