n,ξ,RejectionRate,NRejected,NValid,NFailed
10,-0.4,0.051866666666666665,778,15000,0
10,-0.2,0.04973333333333333,746,15000,0
10,0.0,0.04766666666666667,715,15000,0
10,0.2,0.04886666666666667,733,15000,0
10,0.4,0.05053333333333333,758,15000,0
15,-0.4,0.05413333333333333,812,15000,0
15,-0.2,0.0472,708,15000,0
15,0.0,0.051,765,15000,0
15,0.2,0.052,780,15000,0
15,0.4,0.05,750,15000,0
30,-0.4,0.050333333333333334,755,15000,0
30,-0.2,0.05046666666666667,757,15000,0
30,0.0,0.05026666666666667,754,15000,0
30,0.2,0.050866666666666664,763,15000,0
30,0.4,0.0494,741,15000,0
50,-0.4,0.05073333333333333,761,15000,0
50,-0.2,0.049133333333333334,737,15000,0
50,0.0,0.04933333333333333,740,15000,0
50,0.2,0.05293333333333333,794,15000,0
50,0.4,0.04713333333333333,707,15000,0
75,-0.4,0.0504,756,15000,0
75,-0.2,0.051133333333333336,767,15000,0
75,0.0,0.05046666666666667,757,15000,0
75,0.2,0.052,780,15000,0
75,0.4,0.050333333333333334,755,15000,0
100,-0.4,0.050333333333333334,755,15000,0
100,-0.2,0.05193333333333333,779,15000,0
100,0.0,0.0514,771,15000,0
100,0.2,0.04973333333333333,746,15000,0
100,0.4,0.0516,774,15000,0
