α₁,ξ,RejectionRate,NRejected,NValid,NFailed
0.4,-0.4,0.9994666666666666,14992,15000,0
0.4,-0.2,0.9904,14856,15000,0
0.4,0.0,0.9760666666666666,14641,15000,0
0.4,0.2,0.9762666666666666,14644,15000,0
0.4,0.4,0.9836,14754,15000,0
0.45,-0.4,0.9998,14997,15000,0
0.45,-0.2,0.9946,14919,15000,0
0.45,0.0,0.9844,14766,15000,0
0.45,0.2,0.9841333333333333,14762,15000,0
0.45,0.4,0.9903333333333333,14855,15000,0
0.5,-0.4,0.9999333333333333,14999,15000,0
0.5,-0.2,0.9926666666666667,14890,15000,0
0.5,0.0,0.9794666666666667,14692,15000,0
0.5,0.2,0.9818666666666667,14728,15000,0
0.5,0.4,0.9896666666666667,14845,15000,0
0.55,-0.4,0.9992666666666666,14989,15000,0
0.55,-0.2,0.9867333333333334,14801,15000,0
0.55,0.0,0.9648666666666667,14473,15000,0
0.55,0.2,0.9673333333333334,14510,15000,0
0.55,0.4,0.9817333333333333,14726,15000,0
0.6,-0.4,0.9967991464390504,14948,14996,4
0.6,-0.2,0.9480666666666666,14221,15000,0
0.6,0.0,0.91,13650,15000,0
0.6,0.2,0.9144,13716,15000,0
0.6,0.4,0.9460666666666666,14191,15000,0
0.65,-0.4,0.9720528114737618,14504,14921,79
0.65,-0.2,0.8378126042014005,12563,14995,5
0.65,0.0,0.7675333333333333,11513,15000,0
0.65,0.2,0.7735333333333333,11603,15000,0
0.65,0.4,0.8307333333333333,12461,15000,0
0.7,-0.4,0.7120152142905658,10483,14723,277
0.7,-0.2,0.560647621596307,8380,14947,53
0.7,0.0,0.4802960592118424,7203,14997,3
0.7,0.2,0.4897319642619016,7345,14998,2
0.7,0.4,0.5519497863247863,8266,14976,24
0.75,-0.4,0.18952265372168284,2811,14832,168
0.75,-0.2,0.1994778766985742,2980,14939,61
0.75,0.0,0.17714514300953396,2657,14999,1
0.75,0.2,0.17484662576687116,2622,14996,4
0.75,0.4,0.1921972075622954,2877,14969,31
0.8,-0.4,0.010402774073086157,156,14996,4
0.8,-0.2,0.02534685165421558,380,14992,8
0.8,0.0,0.02506833788919261,376,14999,1
0.8,0.2,0.02680178678578572,402,14999,1
0.8,0.4,0.020076035483225504,301,14993,7
