δ,ξ,RejectionRate,NRejected,NValid,NFailed
0.0,-0.4,0.052533333333333335,788,15000,0
0.0,-0.2,0.0486,729,15000,0
0.0,0.0,0.05006666666666667,751,15000,0
0.0,0.2,0.049933333333333337,749,15000,0
0.0,0.4,0.050333333333333334,755,15000,0
0.01,-0.4,0.474,7110,15000,0
0.01,-0.2,0.3636,5454,15000,0
0.01,0.0,0.33166666666666667,4975,15000,0
0.01,0.2,0.3134,4701,15000,0
0.01,0.4,0.32153333333333334,4823,15000,0
0.02,-0.4,0.9496666666666667,14245,15000,0
0.02,-0.2,0.8523333333333334,12785,15000,0
0.02,0.0,0.7865333333333333,11798,15000,0
0.02,0.2,0.7671333333333333,11507,15000,0
0.02,0.4,0.7711333333333333,11567,15000,0
0.03,-0.4,0.9994666666666666,14992,15000,0
0.03,-0.2,0.989,14835,15000,0
0.03,0.0,0.9682666666666667,14524,15000,0
0.03,0.2,0.9588666666666666,14383,15000,0
0.03,0.4,0.9621333333333333,14432,15000,0
0.04,-0.4,1.0,15000,15000,0
0.04,-0.2,0.9997333333333334,14996,15000,0
0.04,0.0,0.9981333333333333,14972,15000,0
0.04,0.2,0.9948,14922,15000,0
0.04,0.4,0.994,14910,15000,0
0.05,-0.4,1.0,15000,15000,0
0.05,-0.2,1.0,15000,15000,0
0.05,0.0,0.9998666666666667,14998,15000,0
0.05,0.2,0.9994666666666666,14992,15000,0
0.05,0.4,0.9994666666666666,14992,15000,0
