Year,5min,10min,15min,30min,1h,2h,6h,12h,24h
1950,91.2,70.2,60.8,37.0,21.3,11.2,5.633333333333333,3.283333333333333,1.7249999999999999
1951,124.80000000000001,96.0,87.2,49.2,25.9,13.85,5.716666666666666,3.0083333333333333,1.7375
1954,112.80000000000001,70.2,58.0,45.8,31.2,16.9,13.466666666666667,9.225,5.7250000000000005
1955,85.2,70.2,62.8,40.6,20.6,10.3,5.8500000000000005,4.3999999999999995,2.4458333333333333
1956,142.8,106.80000000000001,84.4,48.8,24.6,15.0,7.666666666666667,3.875,1.9458333333333335
1957,88.80000000000001,61.199999999999996,52.0,35.6,21.3,14.35,7.666666666666667,4.483333333333333,2.254166666666667
1958,69.60000000000001,36.6,24.4,16.2,8.9,5.6,3.3833333333333333,2.5,1.3458333333333332
1959,85.2,50.400000000000006,34.4,19.8,10.4,7.0,3.733333333333333,2.3249999999999997,1.2291666666666667
1960,73.2,67.2,54.0,35.6,27.2,19.3,7.316666666666666,3.658333333333333,1.8291666666666666
1961,112.80000000000001,64.2,44.8,34.0,19.6,12.3,5.0,2.7916666666666665,1.3958333333333333
1962,204.0,124.80000000000001,93.6,63.0,32.5,16.5,7.7,6.691666666666666,3.704166666666667
1963,128.4,85.2,79.2,43.6,22.4,16.75,5.633333333333333,3.091666666666667,1.5999999999999999
1964,100.80000000000001,58.199999999999996,50.8,41.2,21.8,12.55,6.016666666666667,3.533333333333333,2.2875
1965,112.80000000000001,65.4,45.6,24.4,15.5,9.15,3.983333333333333,2.983333333333333,1.925
1966,55.199999999999996,37.800000000000004,31.6,18.2,15.0,11.8,6.1000000000000005,3.0666666666666664,2.0749999999999997
1967,148.8,81.0,60.8,33.0,17.8,11.45,5.033333333333333,2.8166666666666664,1.8
1968,128.4,105.0,92.4,68.6,45.7,24.25,10.833333333333334,5.608333333333333,2.8166666666666664
1969,63.6,64.2,62.0,45.8,31.0,22.1,7.916666666666667,4.041666666666667,2.0541666666666667
1970,222.0,155.4,120.8,80.8,47.5,24.9,9.783333333333333,5.25,3.3666666666666667
1971,140.4,82.2,69.2,48.8,31.5,16.25,6.183333333333334,3.1999999999999997,1.7666666666666666
1972,57.6,41.400000000000006,30.4,23.4,11.9,8.0,4.366666666666666,2.858333333333333,1.6208333333333333
1973,97.2,56.400000000000006,47.6,34.0,19.3,13.95,5.583333333333333,2.966666666666667,1.6500000000000001
