Year,5min,10min,15min,30min,1h,2h,6h,12h,24h
1943,140.4,85.2,71.2,41.6,23.6,13.35,5.5833,4.025,2.6792
1944,103.2,62.4,42.8,23.8,11.9,7.75,3.6333,1.9667,1.0917
1945,186.0,94.2,65.2,35.0,18.8,13.1,5.0,4.0667,2.2
1946,130.8,73.2,49.6,25.4,13.0,8.75,4.65,3.9167,2.3792
1947,75.6,48.6,44.8,23.8,19.8,10.65,4.7833,2.3917,1.7042
1948,97.2,68.4,68.0,36.6,19.8,9.9,3.9833,2.35,1.7125
1949,109.2,71.4,58.8,36.6,24.9,14.85,5.0833,3.1333,1.5667
1950,106.8,71.4,52.8,36.0,22.9,12.3,4.7833,4.025,2.4958
1951,97.2,51.6,36.4,25.4,21.6,13.35,5.7167,3.05,2.3167
1952,148.8,105.0,77.2,68.0,39.6,19.95,8.6833,5.7333,2.8667
1953,97.2,53.4,36.4,22.4,17.5,12.7,5.1667,2.875,1.65
1954,69.6,47.4,32.4,21.8,17.0,11.2,7.4,4.5333,2.4042
1955,140.4,93.0,67.2,33.6,17.8,9.25,3.5167,2.925,1.4708
1956,103.2,54.6,54.0,33.6,30.5,18.65,7.0333,3.725,1.8625
1957,122.4,106.8,93.6,53.4,26.7,13.95,5.85,3.2417,1.725
1958,85.2,73.2,66.0,34.6,17.8,15.25,8.9667,5.95,3.0167
1959,85.2,70.2,54.8,37.6,27.7,16.25,6.1833,4.4417,2.2875
1960,67.2,58.2,50.8,38.6,27.2,15.75,5.3333,3.0667,1.9792
1961,85.2,56.4,46.8,32.0,18.3,10.05,4.6167,3.725,2.075
1962,182.4,108.0,82.4,49.8,27.7,14.35,4.9167,3.425,2.425
1963,158.4,137.4,122.0,70.6,40.4,21.1,9.7333,5.8417,2.9208
1964,82.8,61.2,44.8,34.6,20.1,12.3,4.1,3.1333,1.7125
1965,128.4,87.0,62.0,34.6,19.8,11.2,5.5,3.9833,2.1167
1966,152.4,115.8,107.6,73.6,39.9,22.75,8.0,4.1083,2.2875
1967,116.4,100.8,83.2,51.8,25.9,12.95,4.3167,2.7083,2.0125
1968,73.2,71.4,60.0,44.2,23.1,11.55,3.9,2.625,1.6083
1969,103.2,82.2,79.2,74.2,48.5,24.25,8.0833,4.0417,2.4125
1970,134.4,123.6,100.4,71.6,39.1,25.8,8.6,4.3,2.1917
1971,75.6,54.6,43.6,24.8,14.0,8.25,4.6167,2.6,1.3125
1972,118.8,65.4,44.8,23.8,15.2,11.45,4.95,2.5,1.6208
