Name,ID,Lat,Lon,Elevelation,nyear,SimpleScaling_pvalue,GeneralScaling_pvalue
LAKE COWICHAN,1012055,48.83,-124.05,,0,NaN,NaN
JORDAN RIVER DIVERSION,1013754,48.5,-124.0,,0,NaN,NaN
JORDAN RIVER GENERATING,1013755,48.42,-124.05,,0,NaN,NaN
NORTH COWICHAN,1015628,48.82,-123.72,,0,NaN,NaN
PORT RENFREW,1016335,48.58,-124.33,,0,NaN,NaN
SAANICH CAMOSUN COLLEGE,1016941,48.5,-123.42,,10,NaN,NaN
SATURNA CAPMON CS,1017099,48.78,-123.13,,26,0.202,0.006
VICTORIA UNIVERSITY CS,1018598,48.47,-123.3,,21,0.773,0.28
VICTORIA GONZALES CS,1018611,48.42,-123.32,,65,0.021,0.001
VICTORIA INTL A,1018621,48.65,-123.43,,50,0.001,0.017
VICTORIA MARINE,1018642,48.37,-123.75,,25,0.178,0.189
CAMPBELL RIVER A,1021261,49.95,-125.27,,19,0.03,0.034
CAMPBELL RIVER STP,1021265,50.02,-125.23,,14,NaN,NaN
COMOX A,1021830,49.72,-124.9,,40,0.053,0.149
COURTENAY PUNTLEDGE BCHP,1021990,49.68,-125.03,,0,NaN,NaN
NANAIMO A,1025369,49.05,-123.87,,32,0.609,0.1
NANAIMO CITY YARD,10253G0,49.2,-123.98,,24,0.204,0.182
PARKSVILLE SOUTH,1025977,49.33,-124.3,,0,NaN,NaN
NANAIMO DEPARTURE BAY,1025C70,49.22,-123.95,,0,NaN,NaN
PORT HARDY A,1026270,50.68,-127.37,,29,0.003,0.026
STRATHCONA DAM,1027775,50.0,-125.58,,0,NaN,NaN
AMPHITRITE POINT,1030426,48.92,-125.53,,20,0.023,0.014
CARNATION CREEK CDF,1031413,48.9,-125.0,,9,NaN,NaN
ESTEVAN POINT,1032730,49.38,-126.53,,10,NaN,NaN
PORT ALBERNI A,1036206,49.25,-124.83,,23,0.002,0.001
TOFINO A,1038205,49.08,-125.77,,45,0.501,0.044
CLOWHOM FALLS,1041710,49.72,-123.53,,0,NaN,NaN
DAISY LAKE DAM,1042255,49.98,-123.13,,0,NaN,NaN
GIBSONS,1043150,49.4,-123.52,,0,NaN,NaN
MERRY ISLAND LIGHTSTATION,1045100,49.47,-123.92,,0,NaN,NaN
PORT MELLON,1046330,49.52,-123.48,,11,NaN,NaN
POWELL RIVER A,1046391,49.83,-124.5,,33,0.093,0.224
SQUAMISH AIRPORT,10476F0,49.78,-123.17,,10,NaN,NaN
WHISTLER,1048898,50.13,-122.95,,21,0.833,0.817
LANGARA,1054500,54.27,-133.07,,36,0.133,0.155
MORESBY ISLAND MITCHELL INLET,10551R8,52.93,-132.13,,11,NaN,NaN
SANDSPIT A,1057050,53.25,-131.82,,33,0.033,0.037
BELLA COOLA A,1060841,52.38,-126.6,,28,0.132,0.212
BELLA COOLA BC HYDRO,1060842,52.37,-126.82,,16,0.872,0.914
KITIMAT,1064288,54.05,-128.68,,10,NaN,NaN
PRINCE RUPERT A,1066481,54.28,-130.43,,35,0.673,0.667
STEWART A,1067742,55.93,-129.98,,31,0.001,0.001
TERRACE A,1068130,54.47,-128.58,,28,0.69,0.706
TERRACE PCC,1068131,54.5,-128.62,,47,0.01,0.057
QUICK,1076638,54.62,-126.9,,13,NaN,NaN
SMITHERS A,1077500,54.82,-127.18,,31,0.045,0.106
LAJOIE DAM,1084490,50.83,-122.87,,0,NaN,NaN
PEMBERTON BCFS,1086083,50.32,-122.82,,0,NaN,NaN
SOUTHBANK,1087600,54.03,-125.77,,12,NaN,NaN
BURNS LAKE,1091169,54.23,-125.77,,21,0.135,0.807
FORT ST JAMES,1092970,54.47,-124.28,,0,NaN,NaN
FORT ST JAMES A,1092972,54.42,-124.25,,11,NaN,NaN
HORSEFLY BCFS,1093599,52.33,-121.42,,0,NaN,NaN
KERSLEY,1094125,52.82,-122.37,,0,NaN,NaN
MCBRIDE ELDER CREEK,1094948,53.42,-120.35,,0,NaN,NaN
MCBRIDE NORTH,1094955,53.37,-120.25,,0,NaN,NaN
PRINCE GEORGE A,1096450,53.88,-122.68,,41,0.66,0.744
WILLIAMS LAKE A,1098940,52.18,-122.05,,8,NaN,NaN
ABBOTSFORD A,1100030,49.03,-122.37,,24,0.247,0.127
AGASSIZ RCS,1100119,49.23,-121.77,,23,0.935,0.938
ALOUETTE LAKE,1100360,49.28,-122.48,,1,NaN,NaN
BUNTZEN LAKE,1101140,49.38,-122.87,,0,NaN,NaN
CHILLIWACK MICROWAVE,1101562,49.12,-121.9,,0,NaN,NaN
COQUITLAM LAKE,1101890,49.37,-122.8,,1,NaN,NaN
HANEY MICROWAVE,1103328,49.2,-122.52,,0,NaN,NaN
HANEY UBC RF ADMIN,1103332,49.27,-122.57,,9,NaN,NaN
HUNTINGDON VYE ROAD,1103636,49.03,-122.2,,8,NaN,NaN
LADNER BCHPA,1104473,49.08,-123.05,,9,NaN,NaN
LANGLEY LOCHIEL,1104555,49.05,-122.58,,0,NaN,NaN
MISSION WEST ABBEY,1105192,49.15,-122.27,,54,0.857,0.853
N VANCOUVER LYNN CREEK,1105660,49.37,-123.03,,19,0.002,0.011
PITT POLDER,1106180,49.27,-122.63,,40,0.036,0.071
PORT COQUITLAM CITY YARD,1106256,49.27,-122.78,,11,NaN,NaN
PORT MOODY GLENAYRE,1106CL2,49.28,-122.88,,0,NaN,NaN
SURREY KWANTLEN PARK,1107873,49.18,-122.87,,37,0.001,0.017
SURREY MUNICIPAL HALL,1107876,49.12,-122.83,,12,NaN,NaN
VANCOUVER INTL A,1108395,49.18,-123.18,,62,0.125,0.156
VANCOUVER HARBOUR CS,1108446,49.3,-123.12,,25,0.003,0.007
VANCOUVER KITSILANO,1108453,49.27,-123.17,,30,0.161,0.177
VANCOUVER UBC,1108487,49.25,-123.25,,33,0.026,0.147
WHITE ROCK STP,1108914,49.02,-122.78,,27,0.253,0.946
PITT MEADOWS STP,110FAG9,49.22,-122.68,,9,NaN,NaN
BURNABY MTN BCHPA,110JA54,49.28,-122.92,,0,NaN,NaN
N VANC SONORA DR,110N6FF,49.37,-123.1,,18,0.031,0.115
HELLS GATE,1113420,49.78,-121.45,,0,NaN,NaN
HOPE A,1113540,49.37,-121.5,,32,0.732,0.046
LILLOOET SETON BCHPA,1114627,50.67,-121.92,,0,NaN,NaN
LYTTON,1114741,50.23,-121.58,,21,0.316,0.009
SHALALTH,1117215,50.73,-122.23,,0,NaN,NaN
KELOWNA A,1123970,49.97,-119.38,,34,0.186,0.418
KELOWNA PC BURNETTS NURSERY,1123992,49.87,-119.48,,19,0.305,0.44
OLIVER STP,1125766,49.18,-119.53,,0,NaN,NaN
PENTICTON A,1126150,49.47,-119.6,,44,0.011,0.117
PRINCETON A,1126510,49.47,-120.52,,33,0.149,0.005
VERNON,1128551,50.23,-119.28,,22,0.865,0.928
SUMMERLAND CS,112G8L1,49.57,-119.65,,36,0.006,0.571
CASTLEGAR A,1141455,49.3,-117.63,,21,0.084,0.193
CASTLEGAR BCHPA DAM,1141457,49.33,-117.77,,28,0.001,0.026
CRESTON WPCC,1142164,49.1,-116.53,,21,0.586,0.661
DUNCAN LAKE DAM,1142574,50.23,-116.97,,37,0.018,0.223
FAUQUIER,1142820,49.87,-118.07,,0,NaN,NaN
TRAIL BIRCHBANK,1148211,49.2,-117.73,,0,NaN,NaN
CRANBROOK A,1152102,49.62,-115.78,,32,0.002,0.04
KIMBERLEY PCC,1154203,49.63,-115.97,,0,NaN,NaN
SPARWOOD,1157630,49.75,-114.88,,32,0.325,0.069
BLUE RIVER A,1160899,52.13,-119.28,,44,0.223,0.48
KAMLOOPS A,1163780,50.7,-120.43,,38,0.001,0.225
SALMON ARM A,1166R45,50.68,-119.23,,43,0.001,0.001
GOLDEN A,1173210,51.3,-116.98,,37,0.084,0.28
MICA DAM,1175122,52.05,-118.58,,9,NaN,NaN
REVELSTOKE AIRPORT RD,1176751,50.95,-118.17,,22,0.282,0.351
VALEMOUNT NORTH,1178CL9,52.85,-119.25,,0,NaN,NaN
YOHO PARK,11790J1,51.43,-116.33,,12,NaN,NaN
YOHO NAT PARK BOULDER CR,117R00F,51.38,-116.53,,0,NaN,NaN
CHETWYND A,1181508,55.68,-121.63,,29,0.939,0.945
DAWSON CREEK A,1182285,55.73,-120.18,,25,0.028,0.243
FORT ST JOHN A,1183000,56.23,-120.73,,24,0.035,0.141
GERMANSEN LANDING,1183090,55.78,-124.7,,15,0.254,0.834
HUDSON HOPE BCHPA DAM,1183FL0,56.02,-122.2,,14,NaN,NaN
MACKENZIE A,1184790,55.32,-123.13,,23,0.227,0.349
SIKANNI CHIEF,1187335,57.25,-122.72,,16,0.51,0.552
WARE,1188696,57.43,-125.63,,0,NaN,NaN
DEASE LAKE,1192340,58.43,-130.02,,22,0.72,0.127
FORT NELSON A,1192940,58.83,-122.6,,34,0.035,0.096
MUNCHO LAKE,1195250,58.93,-125.77,,27,0.751,0.613
TETSA RIVER,1195J29,58.65,-124.23,,14,NaN,NaN
ATLIN,1200560,59.57,-133.7,,23,0.483,0.149
PLEASANT CAMP,1206197,59.45,-136.37,,15,0.624,0.661
TELEGRAPH CREEK,1208041,57.9,-131.33,,0,NaN,NaN
TODAGIN RANCH,1208202,57.6,-130.07,,0,NaN,NaN
BURWASH A,2100182,61.37,-139.05,,12,NaN,NaN
CARMACKS,2100300,62.1,-136.3,,13,NaN,NaN
DAWSON A,2100402,64.03,-139.13,,24,0.01,0.15
HAINES JUNCTION,2100630,60.77,-137.58,,13,NaN,NaN
MAYO A,2100700,63.62,-135.87,,25,0.08,0.649
PELLY RANCH,2100880,62.83,-137.32,,40,0.001,0.205
TESLIN (AUT),2101102,60.17,-132.73,,35,0.001,0.096
WATSON LAKE A,2101200,60.12,-128.82,,23,0.153,0.301
WHITEHORSE AUTO,2101310,60.73,-135.1,,44,0.048,0.608
FORT RELIANCE,2201900,62.72,-109.17,,16,0.359,0.147
FORT SIMPSON CLIMATE,2202102,61.77,-121.23,,42,0.005,0.038
FORT SMITH CLIMATE,2202202,60.03,-111.93,,11,NaN,NaN
HAY RIVER A,2202401,60.83,-115.78,,38,0.019,0.805
HAY RIVER CLIMATE,2202402,60.83,-115.78,,10,NaN,NaN
INUVIK CLIMATE,2202578,68.32,-133.52,,31,0.007,0.031
NORMAN WELLS A,2202801,65.28,-126.8,,35,0.003,0.649
NORMAN WELLS CLIMATE,2202810,65.28,-126.75,,11,NaN,NaN
PAULATUK,2203058,69.37,-124.08,,10,NaN,NaN
TUNGSTEN,2203922,61.95,-128.25,,9,NaN,NaN
YELLOWKNIFE A,2204100,62.47,-114.43,,32,0.007,0.842
BAKER LAKE A,2300500,64.3,-96.08,,21,0.432,0.14
BAKER LAKE CLIMATE,2300501,64.32,-96.0,,27,0.269,0.012
KUGLUKTUK CLIMATE,2300904,67.82,-115.13,,11,NaN,NaN
CORAL HARBOUR A,2301000,64.18,-83.37,,9,NaN,NaN
ARVIAT CLIMATE,2301153,61.1,-94.07,,12,NaN,NaN
GJOA HAVEN CLIMATE,2302340,68.63,-95.85,,10,NaN,NaN
KUGAARUK CLIMATE,2303094,68.53,-89.8,,11,NaN,NaN
RANKIN INLET A,2303401,62.82,-92.12,,10,NaN,NaN
CAMBRIDGE BAY A,2400600,69.12,-105.13,,27,0.253,0.001
CAPE DORSET CLIMATE,2400636,64.23,-76.53,,25,0.002,0.001
CLYDE A,2400800,70.48,-68.52,,13,NaN,NaN
HALL BEACH A,2402350,68.78,-81.23,,14,NaN,NaN
IQALUIT CLIMATE,2402592,63.75,-68.53,,26,0.037,0.001
POND INLET A,2403201,72.68,-77.97,,16,0.668,0.093
HOLMAN CS,2502505,70.77,-117.8,,10,NaN,NaN
SACHS HARBOUR CLIMATE,2503648,71.98,-125.25,,15,0.303,0.01
CAMROSE,3011240,53.05,-112.82,,20,0.008,0.543
CORONATION A,3011880,52.07,-111.45,,17,0.001,0.239
EDMONTON INTERNATIONAL CS,3012206,53.32,-113.62,,51,0.001,0.01
EDMONTON BLATCHFORD,3012209,53.57,-113.52,,67,0.001,0.035
EDMONTON NAMAO A,3012210,53.67,-113.47,,29,0.009,0.051
ELLERSLIE,3012295,53.42,-113.55,,18,0.01,0.412
ROCKY MTN HOUSE (AUT),3015523,52.42,-114.92,,37,0.001,0.064
VEGREVILLE,3016GF0,53.52,-112.1,,12,NaN,NaN
EDMONTON STONY PLAIN CS,301A001,53.55,-114.12,,15,0.042,0.837
DRUMHELLER EAST,30221LG,51.45,-112.68,,13,NaN,NaN
LACOMBE CDA 2,3023722,52.45,-113.77,,34,0.001,0.453
RED DEER REGIONAL A,3025481,52.18,-113.88,,48,0.002,0.002
BROOKS,3030QLP,50.57,-111.85,,32,0.012,0.931
CALGARY INT'L CS,3031094,51.12,-114.0,,59,0.001,0.052
LETHBRIDGE CDA,3033890,49.7,-112.77,,47,0.001,0.007
MEDICINE HAT RCS,3034485,50.03,-110.72,,41,0.001,0.001
PINCHER CREEK A,3035202,49.52,-114.0,,22,0.083,0.852
VAUXHALL CDA,3036681,50.05,-112.13,,31,0.031,0.121
MANYBERRIES CDA,3044200,49.12,-110.47,,18,0.007,0.106
JASPER,3053520,52.88,-118.07,,31,0.445,0.566
KANANASKIS,3053600,51.03,-115.03,,11,NaN,NaN
EDSON A,3062244,53.58,-116.47,,23,0.001,0.006
FORT MCMURRAY CS,3062696,56.65,-111.22,,39,0.03,0.12
MILDRED LAKE,3064528,57.03,-111.57,,18,0.173,0.978
SLAVE LAKE A,3066001,55.3,-114.78,,21,0.012,0.49
WHITECOURT A,3067372,54.13,-115.78,,29,0.054,0.935
BEAVERLODGE CDA,3070560,55.2,-119.4,,30,0.068,0.26
FORT CHIPEWYAN A,3072658,58.77,-111.12,,22,0.006,0.64
GRANDE PRAIRIE A,3072920,55.18,-118.88,,22,0.017,0.131
HIGH LEVEL A,3073146,58.62,-117.17,,30,0.024,0.032
PEACE RIVER A,3075040,56.23,-117.45,,37,0.001,0.017
WATINO,3077246,55.72,-117.63,,19,0.069,0.339
COLD LAKE A,3081680,54.42,-110.28,,48,0.001,0.342
BROADVIEW,4010879,50.37,-102.57,,29,0.07,0.206
DAVIN 5,4012164,50.37,-104.17,,28,0.001,0.874
ESTEVAN,4012410,49.22,-102.97,,52,0.001,0.494
INDIAN HEAD CDA,4013480,50.55,-103.65,,32,0.001,0.19
INDIAN HEAD PFRA,4013490,50.5,-103.68,,33,0.001,0.323
MOOSE JAW CS,4015322,50.33,-105.53,,49,0.001,0.026
ORMISTON,4015680,49.72,-105.37,,26,0.021,0.343
REGINA INT'L A,4016560,50.43,-104.67,,52,0.001,0.816
