Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1970,-99.9,-99.9,-99.9,-99.9,10.7,16.3,24.4,29,39.4
1971,-99.9,-99.9,-99.9,-99.9,13.5,20.8,43.2,60.2,79.8
1972,-99.9,-99.9,-99.9,-99.9,9.7,17.8,47.2,82.8,141.5
1973,-99.9,-99.9,-99.9,-99.9,9.4,15,37.8,60.2,75.2
1974,-99.9,-99.9,-99.9,-99.9,7.1,14,29.7,51.3,63
1975,-99.9,-99.9,-99.9,-99.9,11.2,14.5,30,54.1,91.7
1976,2,3.1,3.6,5.3,7.1,11.4,27.7,41.7,65
1977,2,2.5,3.3,4.8,8.4,15,30.5,41.4,46.5
1978,3.6,5.5,5.9,6.9,9.7,14,28.2,34.3,43.4
1979,4.6,7.9,10.3,13.2,14.7,16.1,29.4,46,66.4
1980,4.2,6.8,8.6,11,13.6,17,34.8,48.1,59.2
1981,8.5,16.9,19.5,21.1,23.2,29.5,39.1,58.3,89.2
1982,3.9,5.5,6.9,9.6,12.4,20.9,39.3,53.8,80.3
1983,3.8,6.9,8.5,13.6,19.4,23.6,31.1,46.2,67.6
1984,4.1,5.7,6.7,7.4,10.9,16.4,29.3,49.2,75.8
1985,3,3.8,4.6,5.7,7.7,13.4,29.4,41.8,66.5
1986,3.7,5.3,7.1,9.3,11.6,22,49.6,62.4,80.6
1987,2.3,3.3,4.1,5.2,7.5,12,26.2,37.5,48.3
1988,-99.9,-99.9,-99.9,-99.9,5.5,9.9,25.3,39.7,49.8
1990,4,6.2,7.6,8.8,9.2,12.4,24,40,74.6
1991,3.6,6.4,7.2,9.2,12.4,16.8,42.4,63,77.4
1992,2.6,4.2,4.4,7.2,11.6,15.6,31.2,49.4,72.6
1993,4.6,5.6,6.8,10,13.6,21.6,36.8,40.2,55.2
1994,4,5.6,7,8,10,15.4,29.6,38.6,54.2
2014,3.2,4.4,4.4,5.4,8.8,15.2,33.2,49.4,61.8
2015,2.6,3.6,4.6,7.4,9.6,16.6,41.2,60.8,79.4
2016,4.8,6.6,7.2,11,16.6,24.8,31.8,47.2,59.6
2017,4.6,5,5.2,8.4,13.4,22.4,46,56.8,69.6
2018,2,3.2,4.2,6,8.4,15,33.6,58.2,83.8
2019,3.6,5.8,7.4,9.2,11,17.8,40.6,55,84.6
2020,3.4,3.8,4.6,7.8,13.2,21,39,46.6,64
2021,3,3.8,4.8,6.4,9.4,15.2,36.2,55.8,88.2
