Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1943,11.7,14.2,17.8,20.8,23.6,26.7,33.5,48.3,64.3
1944,8.6,10.4,10.7,11.9,11.9,15.5,21.8,23.6,26.2
1945,15.5,15.7,16.3,17.5,18.8,26.2,30,48.8,52.8
1946,10.9,12.2,12.4,12.7,13,17.5,27.9,47,57.1
1947,6.3,8.1,11.2,11.9,19.8,21.3,28.7,28.7,40.9
1948,8.1,11.4,17,18.3,19.8,19.8,23.9,28.2,41.1
1949,9.1,11.9,14.7,18.3,24.9,29.7,30.5,37.6,37.6
1950,8.9,11.9,13.2,18,22.9,24.6,28.7,48.3,59.9
1951,8.1,8.6,9.1,12.7,21.6,26.7,34.3,36.6,55.6
1952,12.4,17.5,19.3,34,39.6,39.9,52.1,68.8,68.8
1953,8.1,8.9,9.1,11.2,17.5,25.4,31,34.5,39.6
1954,5.8,7.9,8.1,10.9,17,22.4,44.4,54.4,57.7
1955,11.7,15.5,16.8,16.8,17.8,18.5,21.1,35.1,35.3
1956,8.6,9.1,13.5,16.8,30.5,37.3,42.2,44.7,44.7
1957,10.2,17.8,23.4,26.7,26.7,27.9,35.1,38.9,41.4
1958,7.1,12.2,16.5,17.3,17.8,30.5,53.8,71.4,72.4
1959,7.1,11.7,13.7,18.8,27.7,32.5,37.1,53.3,54.9
1960,5.6,9.7,12.7,19.3,27.2,31.5,32,36.8,47.5
1961,7.1,9.4,11.7,16,18.3,20.1,27.7,44.7,49.8
1962,15.2,18,20.6,24.9,27.7,28.7,29.5,41.1,58.2
1963,13.2,22.9,30.5,35.3,40.4,42.2,58.4,70.1,70.1
1964,6.9,10.2,11.2,17.3,20.1,24.6,24.6,37.6,41.1
1965,10.7,14.5,15.5,17.3,19.8,22.4,33,47.8,50.8
1966,12.7,19.3,26.9,36.8,39.9,45.5,48,49.3,54.9
1967,9.7,16.8,20.8,25.9,25.9,25.9,25.9,32.5,48.3
1968,6.1,11.9,15,22.1,23.1,23.1,23.4,31.5,38.6
1969,8.6,13.7,19.8,37.1,48.5,48.5,48.5,48.5,57.9
1970,11.2,20.6,25.1,35.8,39.1,51.6,51.6,51.6,52.6
1971,6.3,9.1,10.9,12.4,14,16.5,27.7,31.2,31.5
1972,9.9,10.9,11.2,11.9,15.2,22.9,29.7,30,38.9
1973,10.4,14.7,20.8,27.9,36.6,45.7,45.7,45.7,45.7
1974,11.4,13,17.3,23.6,24.4,27.7,30,33.5,45.2
1975,9.4,14.2,17.8,27.2,41.9,45,45.7,77.5,94.2
1976,7.9,9.4,11.7,15.7,17.8,23.4,26.9,36.3,38.4
1977,6.1,8.9,10.4,13.7,14.7,23.1,38.6,39.1,39.1
1978,7.2,9.4,10.2,11.4,12.2,17.3,27,28.7,34.3
1979,4.7,5.4,6.3,9.4,17.1,25.7,56.6,79.9,81.9
1980,9.4,14.8,15.4,16.4,19.1,31.7,41.5,42.4,70.1
1981,7.3,12.9,16.8,25.4,30.2,31.4,31.7,34.5,45.4
1982,3.9,7.3,10,16.4,20.1,21.9,35.4,36.5,36.7
1983,6,12,14,18,22,24,27.5,31,36.9
1984,6.5,9,11.3,18.4,21.2,26.6,49.3,53.6,53.8
1985,4.7,6,7.1,8.1,9.9,16.3,38.8,44.7,48.8
1986,7.5,12.5,17.2,20.7,20.8,23.2,32.6,33.4,41.9
1987,15.9,23.3,27,35.2,44,47.6,56.8,57.4,72.9
1988,11.9,18.2,21.2,21.2,24.7,28.4,28.8,33.7,37.6
1989,6.5,12.7,18.8,27.7,35,35,38.4,41.6,65.2
1990,10.2,12.2,12.6,12.8,14.8,20.8,37,40.8,41.8
1991,6.1,10.2,13.8,23,26.2,26.6,34.6,39.7,41.1
1992,7.5,11.6,12.5,13.1,18.2,25.2,30,39.1,39.8
1993,7,10.9,12.8,16.7,17.1,19.1,22,32.4,48.1
1996,6.2,10,14,17.6,18.6,19.4,39.2,69.6,120.6
1997,5.2,9.6,11.6,14.8,22.6,28.8,48.4,56,64
1998,10.2,11.2,13.4,13.6,16.8,19,26.6,30.6,38.4
1999,9,12,12.4,12.6,15.6,23,32.4,49.4,66
2000,6.4,9,11.8,16,25,28.8,33.2,33.2,35
2001,7,8.2,9.2,11.8,19.8,22.2,22.4,32.6,41
2002,14,16.2,16.8,17.8,19.6,22.2,29.4,38.8,40
2004,9.2,11.4,14.2,20.6,22.4,30.8,55.2,68.4,83
2005,7.2,12.4,17.8,28.2,31.6,48.2,65,77.6,78.4
2006,7,10.2,11.8,15.2,16.4,23,34,43.6,47.6
2007,7.2,12,13.6,17.8,20.6,32.8,39.8,40.4,40.4
2008,11.6,20,23.6,25.4,26.6,27.4,27.8,38,38
2009,7,11.8,14.2,23,30.4,32.8,33.2,36.8,37
2010,5,7.4,10,16.2,18.4,30.8,49.8,64,70.8
2011,8.4,12.2,13.4,16.6,19.6,26.4,39.6,48.8,51
2012,9.8,11,12.6,16.8,22.2,28,33.8,34.6,34.6
2013,7.2,11,14.8,18.4,19.2,19.2,23.2,31.8,35.8
2014,3.6,5.2,7.4,11.2,16.6,25.4,27.6,38,46.2
2015,7.4,10.2,11.6,17,22.6,29.2,32,58,60
2016,9.8,12.4,12.6,15,22.2,36.8,62,71.4,71.6
2017,9.8,16,23.4,35.6,35.6,35.6,35.6,35.6,49
2018,6.8,13.2,14,18,29,30.2,30.8,31.4,48
2019,8,8.2,10,16.8,24,26.8,41.2,49.4,58.8
2020,6.8,9.2,11,12.8,14.8,27.2,27.2,35.8,36.2
2021,9.4,13.2,14.2,15.8,16,16.4,29.8,31,45.6
